Nome,Link,Preço Alvo (R$),Preço Atual (R$),Status,URL da Imagem,Data de Criação
"Faca Talon (★) | Aquecimento de Aço (Bem Desgastada)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Talon%20Knife%20%7C%20Case%20Hardened%20(Well-Worn)","1500","2150.21","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1M5vahf6lsK_WBMWaB_uF_vORtcCS2kRQyvnOGyNqsJ3_GalApA8dyRuAN4xS8mtWyM-vqtgSLi98Tz33-iHlLvSZq_a9cBjNvhjNW/360fx360f","2025-10-24T01:02:41.056Z"
"Canivete (★) | Aquecimento de Aço (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Flip%20Knife%20%7C%20Case%20Hardened%20(Field-Tested)","600","1100.22","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1d4_u-V6V8H_-aAmKU_uNztOh8QmewlEp34W7dy9uuJSiRPFQoDMMmE-UMtEPsk9XmPuPjsg3a34xMxHqvkGoXuX_JXkwk/360fx360f","2025-10-24T01:00:47.148Z"
"Luvas de Motorista (★) | Ultrapassante (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Driver%20Gloves%20%7C%20Overtake%20(Field-Tested)","400","610","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5T441rsfhr9kYDl7h1I4_utY5t-NPmHDW-VxdF0vOBqRBa8hxwptDi6l4r9KD7KcFR0A8ZxR-QMtES_xNXuYejlsgDc3ohHmSz32y0dvSxr6ucBVKJ3q6XJz1aWLQpaUJk/360fx360f","2025-10-24T00:58:50.896Z"
"Faca Clássica (★)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Classic%20Knife","900","1581.07","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJKz2lu_XuWbwcuyMESA4Fdl-4nnpU7iQA3-kKnr8ytd6s2te7cjd6HHXmHBxep157VtTi_rzUR-5WiHnt39c3_EZg4pW5UjQOZbsBCxw8qnab32FBG7RA/360fx360f","2025-10-24T00:57:19.584Z"
"Faca Clássica (★ StatTrak™) | Teia Rubra (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Classic%20Knife%20%7C%20Crimson%20Web%20(Field-Tested)","750","1290.58","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL6kJ_m-B1Y_OGRYL1SN_WRHVidxOp_pewnG3zjwRlysG3XmdipJH3CblAhDsd5RuQDt0LulIbkPuO3tAfXjNoUyTK-0H0IEGyvAA/360fx360f","2025-10-24T00:56:40.885Z"
"Baioneta (★) | Aquecimento de Aço (Bem Desgastada)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Case%20Hardened%20(Well-Worn)","900","1437.21","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PO_V6tkLPWXMWqVxedjva9sHXy2x0khsG2Bno36cHqQaAYpC8N4FOYK5xK_wNy1N-Pj5wLbjI9B02yg2RR_BriW/360fx360f","2025-10-24T00:56:00.266Z"
"Baioneta (★) | Teia Rubra (Testada em Campo)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Crimson%20Web%20(Field-Tested)","800","1387.27","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0Pq3V7NoIuOsA2KUyPt7_rJsS3Dkl0V3tW7Un4mgeHKUPQMgDJdyQrQD4Bjql9fhNu_g5AeP3YlbjXKpxNdPipA/360fx360f","2025-10-24T00:55:08.399Z"
"Baioneta (★) | Ultravioleta (Bem Desgastada)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Ultraviolet%20(Well-Worn)","800","1050.67","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0OGhV7R4MuCfC1idxOp_pewnGyjqwE4ksWjSn46hJC_GZgcoC5skELIPthDrlYHhY-yx4wfW2Y9MxTK-0H2VuiJThA/360fx360f","2025-10-24T00:54:30.448Z"
"Baioneta (★) | Revestimento Enferrujado (Veterana de Guerra)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Rust%20Coat%20(Battle-Scarred)","600","1066.83","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PO_V7d5JfWfMWyeyOhzj-lsTj-q205y6zmBw42vcCqQbg50Dpt2TOMPsxK9ktWzNrzr4gaMiYhEzn2ojy9XrnE8rAbtyVI/360fx360f","2025-10-24T00:53:54.033Z"
"Baioneta (★) | Sabedoria (Veterana de Guerra)","https://steamcommunity.com/market/listings/730/%E2%98%85%20Bayonet%20%7C%20Lore%20(Battle-Scarred)","800","1468.56","ativo","https://community.fastly.steamstatic.com/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLzn4_v8ydP0PG7V6ZsOf-dC3OvzeFktd5hSiiljFMl5T_SzI6qcHieaVB0CJN1Qe4JsEWxwdK0Y-zl5FDY2YpBmXn63Hwb8G81tDvc0Aq4/360fx360f","2025-10-24T00:53:04.293Z"
